sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Communio,Cross Reaping,Executioner's Gallows,Executioner's Gibbet,Gallows,Gibbet,Gluttony,Harpe,Harvest Moon,Infernal Slice,Lemure's Slice,Perfectio,Plentiful Harvest,Sacrificium,Shadow of Death,Slice,Soul Slice,Unveiled Gallows,Unveiled Gibbet,Void Reaping,Waxing Slice
144999,145531,Auto,11720.0,517491,539422,627656,201401,188662,210477,216251,131950,30859,0,407370,274576,172198,254841,343267,203379,336578,309085,149364,157853,592887,396053
144392,145682,Perfectio,159100.0,517491,539422,627656,201401,188662,210477,216251,131950,30859,0,407370,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
146883,147423,Infernal Slice,67895.0,517491,539422,627656,201401,188662,210477,216251,131950,30859,0,475265,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
147503,148573,Gluttony,63367.0,517491,539422,627656,201401,188662,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
148199,148731,Auto,10837.0,528328,539422,627656,201401,188662,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
149373,149993,Executioner's Gibbet,92789.0,528328,539422,627656,201401,281451,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
151399,151931,Auto,10837.0,539165,539422,627656,201401,281451,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
151864,154004,Executioner's Gallows,92789.0,539165,539422,627656,294190,281451,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
154599,155131,Auto,10837.0,550002,539422,627656,294190,281451,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,309085,149364,157853,592887,396053
154354,155384,Soul Slice,58841.0,550002,539422,627656,294190,281451,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,367926,149364,157853,592887,396053
154974,155514,Unveiled Gibbet,49788.0,550002,539422,627656,294190,281451,210477,216251,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,367926,149364,207641,592887,396053
156845,157335,Gibbet,70159.0,550002,539422,627656,294190,281451,210477,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,367926,149364,207641,592887,396053
157799,158331,Auto,10837.0,560839,539422,627656,294190,281451,210477,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,367926,149364,207641,592887,396053
159335,160365,Soul Slice,58841.0,560839,539422,627656,294190,281451,210477,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,426767,149364,207641,592887,396053
159955,160495,Unveiled Gallows,49788.0,560839,539422,627656,294190,281451,210477,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,426767,199152,207641,592887,396053
160999,161531,Auto,10837.0,571676,539422,627656,294190,281451,210477,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,426767,199152,207641,592887,396053
161826,162316,Gallows,70159.0,571676,539422,627656,294190,281451,280636,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,426767,199152,207641,592887,396053
164199,164731,Auto,10837.0,582513,539422,627656,294190,281451,280636,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,336578,426767,199152,207641,592887,396053
164316,164806,Slice,47524.0,582513,539422,627656,294190,281451,280636,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,384102,426767,199152,207641,592887,396053
166807,167387,Waxing Slice,56579.0,582513,539422,627656,294190,281451,280636,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,384102,426767,199152,207641,592887,452632
167399,167931,Auto,10837.0,593350,539422,627656,294190,281451,280636,286410,195317,30859,0,475265,274576,331298,254841,343267,203379,384102,426767,199152,207641,592887,452632
169297,169837,Infernal Slice,67895.0,593350,539422,627656,294190,281451,280636,286410,195317,30859,0,543160,274576,331298,254841,343267,203379,384102,426767,199152,207641,592887,452632
170599,171131,Auto,10837.0,604187,539422,627656,294190,281451,280636,286410,195317,30859,0,543160,274576,331298,254841,343267,203379,384102,426767,199152,207641,592887,452632
171787,172947,Shadow of Death,33945.0,604187,539422,627656,294190,281451,280636,286410,195317,30859,0,543160,274576,331298,254841,343267,237324,384102,426767,199152,207641,592887,452632
172407,172947,Unveiled Gibbet,49788.0,604187,539422,627656,294190,281451,280636,286410,195317,30859,0,543160,274576,331298,254841,343267,237324,384102,426767,199152,257429,592887,452632
173799,174331,Auto,10837.0,615024,539422,627656,294190,281451,280636,286410,195317,30859,0,543160,274576,331298,254841,343267,237324,384102,426767,199152,257429,592887,452632
174278,174768,Gibbet,70159.0,615024,539422,627656,294190,281451,280636,356569,195317,30859,0,543160,274576,331298,254841,343267,237324,384102,426767,199152,257429,592887,452632
176768,177308,Void Reaping,65629.0,615024,539422,627656,294190,281451,280636,356569,195317,30859,0,543160,274576,331298,254841,343267,237324,384102,426767,199152,257429,658516,452632
176999,177531,Auto,10837.0,625861,539422,627656,294190,281451,280636,356569,195317,30859,0,543160,274576,331298,254841,343267,237324,384102,426767,199152,257429,658516,452632
177388,178148,Sacrificium,79212.0,625861,539422,627656,294190,281451,280636,356569,195317,30859,0,543160,274576,331298,254841,422479,237324,384102,426767,199152,257429,658516,452632
