sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Aerial Blast (pet),Akh Morn (pet),Astral Impulse,Auto,Crimson Cyclone,Crimson Strike,Deathflare,Earthen Fury (pet),Emerald Rite,Energy Drain,Exodus (pet),Fountain of Fire,Inferno (pet),Luxwave (pet),Mountain Buster,Necrotize,Revelation (pet),Ruby Rite,Ruin III,Ruin IV,Scarlet Flame (pet),Searing Flash,Slipstream,Slipstream (dot),Sunflare,Topaz Rite,Umbral Impulse,Wyrmwave (pet)
113850,127500,Slipstream (dot),30,1.0,1600,1300,3000,3600,1120,1120,500,1600,2240,400,3000,0,1600,960,1280,1500,0,2480,1200,1040,0,700,1040,360,1000,2720,5120,600
128291,129091,Umbral Impulse,640,1.0,1600,1300,3000,3600,1120,1120,500,1600,2240,400,3000,0,1600,960,1280,1500,0,2480,1200,1040,0,700,1040,360,1000,2720,5760,600
128991,129701,Necrotize,500,1.0,1600,1300,3000,3600,1120,1120,500,1600,2240,400,3000,0,1600,960,1280,2000,0,2480,1200,1040,0,700,1040,360,1000,2720,5760,600
129950,130482,Auto,90,1.0,1600,1300,3000,3690,1120,1120,500,1600,2240,400,3000,0,1600,960,1280,2000,0,2480,1200,1040,0,700,1040,360,1000,2720,5760,600
129691,130761,Energy Drain,200,1.0,1600,1300,3000,3690,1120,1120,500,1600,2240,600,3000,0,1600,960,1280,2000,0,2480,1200,1040,0,700,1040,360,1000,2720,5760,600
130770,131570,Umbral Impulse,640,1.0,1600,1300,3000,3690,1120,1120,500,1600,2240,600,3000,0,1600,960,1280,2000,0,2480,1200,1040,0,700,1040,360,1000,2720,6400,600
131801,131801,Luxwave (pet),160,1.0,1600,1300,3000,3690,1120,1120,500,1600,2240,600,3000,0,1600,1120,1280,2000,0,2480,1200,1040,0,700,1040,360,1000,2720,6400,600
131471,132271,Searing Flash,700,1.0,1600,1300,3000,3690,1120,1120,500,1600,2240,600,3000,0,1600,1120,1280,2000,0,2480,1200,1040,0,1400,1040,360,1000,2720,6400,600
132171,132971,Sunflare,1000,1.0,1600,1300,3000,3690,1120,1120,500,1600,2240,600,3000,0,1600,1120,1280,2000,0,2480,1200,1040,0,1400,1040,360,2000,2720,6400,600
133351,133351,Luxwave (pet),160,1.0,1600,1300,3000,3690,1120,1120,500,1600,2240,600,3000,0,1600,1280,1280,2000,0,2480,1200,1040,0,1400,1040,360,2000,2720,6400,600
133070,133602,Auto,90,1.0,1600,1300,3000,3780,1120,1120,500,1600,2240,600,3000,0,1600,1280,1280,2000,0,2480,1200,1040,0,1400,1040,360,2000,2720,6400,600
133251,134051,Umbral Impulse,640,1.0,1600,1300,3000,3780,1120,1120,500,1600,2240,600,3000,0,1600,1280,1280,2000,0,2480,1200,1040,0,1400,1040,360,2000,2720,7040,600
133951,134661,Necrotize,500,1.0,1600,1300,3000,3780,1120,1120,500,1600,2240,600,3000,0,1600,1280,1280,2500,0,2480,1200,1040,0,1400,1040,360,2000,2720,7040,600
