sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
264684,268500,Combust III (dot),9786.0,0,847300,3575330,161333,346718,193095
268384,268916,Auto,0.0,0,847300,3575330,161333,346718,193095
267884,268954,Fall Malefic,33295.0,0,847300,3608625,161333,346718,193095
270194,271264,Fall Malefic,33295.0,0,847300,3641920,161333,346718,193095
264684,271500,Combust III (dot),9786.0,0,857086,3641920,161333,346718,193095
271584,272116,Auto,0.0,0,857086,3641920,161333,346718,193095
272504,273574,Fall Malefic,33295.0,0,857086,3675215,161333,346718,193095
264684,274500,Combust III (dot),9786.0,0,866872,3675215,161333,346718,193095
275314,275846,Auto,0.0,0,866872,3675215,161333,346718,193095
274814,275884,Fall Malefic,33295.0,0,866872,3708510,161333,346718,193095
264684,277500,Combust III (dot),9786.0,0,876658,3708510,161333,346718,193095
277124,278194,Fall Malefic,33295.0,0,876658,3741805,161333,346718,193095
278514,279046,Auto,0.0,0,876658,3741805,161333,346718,193095
264684,280500,Combust III (dot),9786.0,0,886444,3741805,161333,346718,193095
279434,280504,Fall Malefic,33295.0,0,886444,3775100,161333,346718,193095
282244,282776,Auto,0.0,0,886444,3775100,161333,346718,193095
281744,282814,Fall Malefic,33295.0,0,886444,3808395,161333,346718,193095
264684,283500,Combust III (dot),9786.0,0,896230,3808395,161333,346718,193095
284054,285124,Fall Malefic,33295.0,0,896230,3841690,161333,346718,193095
285444,285976,Auto,0.0,0,896230,3841690,161333,346718,193095
264684,286500,Combust III (dot),9786.0,0,906016,3841690,161333,346718,193095
286364,287434,Fall Malefic,33295.0,0,906016,3874985,161333,346718,193095
264684,289500,Combust III (dot),9786.0,0,915802,3874985,161333,346718,193095
289174,289706,Auto,0.0,0,915802,3874985,161333,346718,193095
288674,289744,Fall Malefic,33295.0,0,915802,3908280,161333,346718,193095
290984,292054,Fall Malefic,33295.0,0,915802,3941575,161333,346718,193095
264684,292500,Combust III (dot),9786.0,0,925588,3941575,161333,346718,193095
292374,292906,Auto,0.0,0,925588,3941575,161333,346718,193095
